序号,时间,0#AD转换器电压[X轴](V),0#AD转换器电压[Y轴](V),1#振镜温度[X轴](℃),1#振镜温度[Y轴](℃),0#AGC电流[X轴](mA),0#AGC电流[Y轴](mA),0#DSP核心电压[X轴](V),0#DSP核心电压[Y轴](V),0#DSP端口电压[X轴](V),0#DSP端口电压[Y轴](V),0#模拟电压[X轴](V),0#模拟电压[Y轴](V),0#伺服温度[X轴](℃),0#伺服温度[Y轴](℃),0#输出电流[X轴](mA),0#输出电流[Y轴](mA),0#振镜温度[X轴](℃),0#振镜温度[Y轴](℃),0#功率[X轴](W),0#功率[Y轴](W),1#DSP核心电压[X轴](V),1#DSP核心电压[Y轴](V),1#DSP端口电压[X轴](V),1#DSP端口电压[Y轴](V),1#功率[X轴](W),1#功率[Y轴](W),1#伺服温度[X轴](℃),1#伺服温度[Y轴](℃),1#模拟电压[X轴](V),1#模拟电压[Y轴](V),1#AD转换器电压[X轴](V),1#AD转换器电压[Y轴](V),1#输出电流[X轴](mA),1#输出电流[Y轴](mA),1#AGC电流[X轴](mA),1#AGC电流[Y轴](mA)
16016,2025/1/22 19:35:05,5.06,5.1,44.0,44.0,51,52,1.91,1.94,3.32,3.38,9.1,9.23,40.2,38.0,262,112,44.0,43.9,6.42,6.6,1.94,1.91,3.37,3.3,6.16,6.09,39.0,41.5,9.22,9.07,5.11,5.05,999,-1267,46,47
16017,2025/1/22 19:35:06,5.06,5.09,44.0,44.0,51,52,1.91,1.93,3.32,3.38,9.1,9.23,40.3,38.0,-37,4,44.0,44.0,6.42,6.61,1.94,1.91,3.37,3.3,6.17,6.16,39.1,41.5,9.2,9.07,5.11,5.05,7,-13,45,47
16018,2025/1/22 19:35:06,5.06,5.1,44.0,44.0,51,52,1.91,1.93,3.32,3.38,9.1,9.22,40.4,38.0,7,-27,44.0,44.0,6.43,6.61,1.94,1.91,3.37,3.3,6.16,6.13,39.2,41.5,9.23,9.08,5.1,5.05,27,23,46,47
16019,2025/1/22 19:35:07,5.06,5.09,44.0,44.0,51,52,1.9,1.93,3.32,3.38,9.1,9.23,40.5,38.0,88,24,44.0,44.0,6.45,6.61,1.94,1.9,3.37,3.3,6.17,6.14,39.3,41.5,9.23,9.08,5.1,5.05,310,-14,46,47
16020,2025/1/22 19:35:08,5.06,5.09,44.0,43.9,51,52,1.91,1.93,3.32,3.38,9.09,9.23,40.5,38.0,14,2,44.0,44.0,6.42,6.59,1.94,1.9,3.38,3.3,6.21,6.11,39.3,41.5,9.23,9.08,5.09,5.05,-274,-96,46,47
16021,2025/1/22 19:35:08,5.06,5.09,43.9,43.9,51,52,1.9,1.93,3.32,3.38,9.1,9.23,40.6,38.0,-174,81,44.0,44.0,6.43,6.61,1.95,1.9,3.37,3.29,6.18,6.07,39.4,41.5,9.27,9.08,5.1,5.05,-9,-44,46,47
16022,2025/1/22 19:35:09,5.06,5.09,43.9,43.9,51,52,1.9,1.93,3.32,3.39,9.09,9.23,40.7,38.0,-114,-27,44.0,44.0,6.44,6.58,1.95,1.9,3.37,3.3,6.17,6.13,39.4,41.5,9.26,9.07,5.1,5.05,-259,-17,46,47
16023,2025/1/22 19:35:09,5.05,5.09,44.0,43.9,51,52,1.9,1.93,3.33,3.38,9.1,9.23,40.7,38.0,35,1,44.0,44.0,6.43,6.59,1.94,1.91,3.37,3.29,6.21,6.13,39.5,41.5,9.22,9.07,5.1,5.04,41,-21,46,47
16024,2025/1/22 19:35:10,5.05,5.1,44.0,43.9,51,52,1.91,1.93,3.32,3.38,9.09,9.24,40.8,38.0,354,-25,44.0,43.9,6.42,6.6,1.94,1.91,3.37,3.3,6.17,6.12,39.6,41.5,9.24,9.07,5.1,5.05,-13,5,46,47
16025,2025/1/22 19:35:10,5.05,5.09,44.0,43.9,51,52,1.9,1.93,3.32,3.38,9.1,9.22,40.9,38.0,84,-87,44.0,43.9,6.42,6.59,1.94,1.91,3.37,3.29,6.17,6.12,39.6,41.5,9.23,9.07,5.11,5.05,31,-19,46,47
16026,2025/1/22 19:35:11,5.05,5.09,44.0,43.9,51,52,1.9,1.93,3.32,3.38,9.1,9.22,40.9,38.0,31,-19,44.0,43.9,6.42,6.6,1.94,1.9,3.37,3.29,6.17,6.12,39.7,41.5,9.23,9.08,5.1,5.05,26,-6,46,47
16027,2025/1/22 19:35:11,5.05,5.1,44.0,43.9,51,52,1.9,1.94,3.31,3.38,9.1,9.23,41.0,38.0,-1333,26,44.0,43.9,6.44,6.59,1.94,1.91,3.37,3.29,6.2,6.11,39.7,41.5,9.22,9.08,5.11,5.05,-13,91,45,47
16028,2025/1/22 19:35:12,5.05,5.1,44.0,43.9,51,52,1.9,1.93,3.32,3.38,9.09,9.23,41.0,38.0,-350,-201,44.0,43.9,6.42,6.58,1.95,1.91,3.37,3.29,6.17,6.07,39.8,41.5,9.23,9.08,5.1,5.04,120,-39,46,47
16029,2025/1/22 19:35:12,5.05,5.1,44.0,43.9,51,52,1.9,1.93,3.32,3.38,9.09,9.25,41.1,38.0,364,134,44.0,43.9,6.43,6.59,1.94,1.9,3.36,3.29,6.16,6.12,39.8,41.6,9.22,9.07,5.1,5.05,299,162,46,47
16030,2025/1/22 19:35:13,5.05,5.09,44.0,43.9,51,52,1.9,1.94,3.32,3.38,9.1,9.22,41.1,38.0,-310,-128,44.0,43.9,6.45,6.6,1.94,1.91,3.37,3.29,6.12,6.13,39.9,41.5,9.23,9.08,5.1,5.05,-145,-152,46,47
16031,2025/1/22 19:35:13,5.05,5.1,44.0,43.9,51,52,1.9,1.93,3.32,3.38,9.1,9.22,41.2,38.0,-303,-169,44.0,43.9,6.44,6.6,1.94,1.91,3.37,3.29,6.16,6.06,39.9,41.5,9.22,9.07,5.1,5.05,-99,-162,46,47
16032,2025/1/22 19:35:14,5.06,5.09,44.0,43.9,51,52,1.9,1.93,3.32,3.38,9.1,9.23,41.2,38.0,-11,2,44.0,43.9,6.44,6.58,1.94,1.91,3.37,3.3,6.16,6.1,40.0,41.5,9.27,9.08,5.1,5.05,27,-37,46,47
16033,2025/1/22 19:35:15,5.06,5.1,43.9,43.9,51,52,1.9,1.93,3.32,3.38,9.1,9.23,41.2,38.0,55,-59,44.0,43.9,6.44,6.59,1.95,1.9,3.37,3.29,6.16,6.11,40.0,41.5,9.22,9.06,5.1,5.06,182,387,46,47
16034,2025/1/22 19:35:15,5.06,5.1,44.0,43.9,51,52,1.9,1.93,3.32,3.38,9.08,9.23,41.3,38.0,-40,3,44.0,43.9,6.43,6.59,1.94,1.9,3.37,3.3,6.19,6.11,40.0,41.5,9.22,9.07,5.1,5.05,-148,-146,46,47
16035,2025/1/22 19:35:16,5.05,5.09,44.0,43.9,51,52,1.9,1.93,3.32,3.38,9.1,9.23,41.3,38.0,-74,-94,44.0,43.9,6.43,6.59,1.95,1.91,3.37,3.29,6.16,6.1,40.0,41.5,9.23,9.08,5.09,5.05,253,134,46,47
16036,2025/1/22 19:35:16,5.06,5.09,44.0,43.9,51,52,1.9,1.93,3.32,3.38,9.09,9.23,41.3,38.0,7,34,44.0,43.9,6.43,6.58,1.94,1.91,3.37,3.3,6.25,6.11,40.0,41.5,9.22,9.08,5.1,5.05,303,178,46,47
16037,2025/1/22 19:35:17,5.06,5.09,43.9,43.9,51,52,1.9,1.93,3.32,3.38,9.09,9.23,41.3,38.0,3881,152,44.0,43.9,6.42,6.58,1.94,1.91,3.37,3.3,6.21,6.11,40.1,41.5,9.22,9.05,5.11,5.05,-4908,-295,46,47
16038,2025/1/22 19:35:17,5.05,5.09,43.9,43.9,51,52,1.91,1.93,3.32,3.38,9.1,9.23,41.3,38.0,-27,9,44.0,43.9,6.43,6.58,1.94,1.91,3.37,3.3,6.17,6.11,40.1,41.5,9.23,9.06,5.1,5.05,-380,-42,46,47
16039,2025/1/22 19:35:18,5.05,5.09,43.9,43.9,51,52,1.9,1.93,3.32,3.38,9.1,9.23,41.4,38.0,-75,-146,43.9,43.9,6.42,6.58,1.94,1.9,3.37,3.29,6.16,6.11,40.1,41.5,9.22,9.09,5.1,5.05,-257,-44,46,47
16040,2025/1/22 19:35:18,5.06,5.09,43.9,43.9,51,52,1.9,1.93,3.32,3.38,9.09,9.24,41.4,38.0,-36,-21,44.0,44.0,6.44,6.58,1.94,1.91,3.38,3.29,6.19,6.12,40.1,41.6,9.22,9.07,5.1,5.05,106,183,46,47
16041,2025/1/22 19:35:19,5.06,5.09,44.0,43.9,51,52,1.91,1.93,3.32,3.38,9.09,9.22,41.4,38.0,-34,4,44.0,44.0,6.42,6.59,1.94,1.9,3.37,3.29,6.2,6.07,40.2,41.6,9.23,9.07,5.1,5.05,192,92,46,47
16042,2025/1/22 19:35:19,5.06,5.09,43.9,44.0,51,52,1.9,1.94,3.32,3.38,9.09,9.23,41.5,38.0,-26,24,44.0,43.9,6.43,6.59,1.94,1.91,3.38,3.3,6.18,6.09,40.2,41.6,9.2,9.07,5.1,5.05,-9,10,46,47
16043,2025/1/22 19:35:20,5.06,5.09,43.9,44.0,51,52,1.9,1.94,3.32,3.38,9.09,9.22,41.5,38.0,-1,-12,44.0,44.0,6.42,6.6,1.95,1.9,3.37,3.29,6.2,6.13,40.2,41.6,9.23,9.07,5.1,5.05,83,318,46,47
16044,2025/1/22 19:35:20,5.06,5.1,43.9,44.0,51,52,1.9,1.93,3.32,3.38,9.09,9.22,41.5,38.0,-50,-112,43.9,43.9,6.43,6.61,1.94,1.91,3.37,3.29,6.23,6.07,40.2,41.6,9.23,9.1,5.1,5.05,106,105,46,47
16045,2025/1/22 19:35:21,5.06,5.09,44.0,43.9,51,52,1.9,1.93,3.32,3.38,9.1,9.23,41.5,38.0,179,49,43.9,44.0,6.45,6.6,1.94,1.9,3.37,3.3,6.21,6.09,40.2,41.5,9.22,9.07,5.1,5.05,-1026,0,46,47
16046,2025/1/22 19:35:21,5.06,5.09,44.0,44.0,51,53,1.91,1.94,3.32,3.38,9.1,9.22,41.5,38.0,-33,-46,44.0,44.0,6.43,6.61,1.94,1.9,3.37,3.29,6.2,6.07,40.2,41.5,9.22,9.07,5.1,5.04,-274,-87,46,47
