序号,时间,0#AD转换器电压[X轴](V),0#AD转换器电压[Y轴](V),1#振镜温度[X轴](℃),1#振镜温度[Y轴](℃),0#AGC电流[X轴](mA),0#AGC电流[Y轴](mA),0#DSP核心电压[X轴](V),0#DSP核心电压[Y轴](V),0#DSP端口电压[X轴](V),0#DSP端口电压[Y轴](V),0#模拟电压[X轴](V),0#模拟电压[Y轴](V),0#伺服温度[X轴](℃),0#伺服温度[Y轴](℃),0#输出电流[X轴](mA),0#输出电流[Y轴](mA),0#振镜温度[X轴](℃),0#振镜温度[Y轴](℃),0#功率[X轴](W),0#功率[Y轴](W),1#DSP核心电压[X轴](V),1#DSP核心电压[Y轴](V),1#DSP端口电压[X轴](V),1#DSP端口电压[Y轴](V),1#功率[X轴](W),1#功率[Y轴](W),1#伺服温度[X轴](℃),1#伺服温度[Y轴](℃),1#模拟电压[X轴](V),1#模拟电压[Y轴](V),1#AD转换器电压[X轴](V),1#AD转换器电压[Y轴](V),1#输出电流[X轴](mA),1#输出电流[Y轴](mA),1#AGC电流[X轴](mA),1#AGC电流[Y轴](mA)
16047,2025/1/22 19:35:22,5.06,5.09,44.0,44.0,51,52,1.91,1.93,3.32,3.38,9.1,9.23,41.5,38.0,-61,-14,44.0,44.0,6.41,6.61,1.94,1.91,3.37,3.29,6.18,6.13,40.2,41.5,9.24,9.08,5.1,5.05,134,31,46,47
16048,2025/1/22 19:35:23,5.05,5.09,43.9,44.0,51,52,1.91,1.93,3.32,3.38,9.09,9.23,41.4,38.0,41,-26,44.0,44.0,6.42,6.6,1.94,1.91,3.37,3.3,6.17,6.11,40.1,41.5,9.25,9.08,5.12,5.04,-456,-184,46,47
16049,2025/1/22 19:35:23,5.06,5.09,43.9,44.0,51,52,1.9,1.94,3.32,3.38,9.1,9.22,41.4,38.0,-333,-121,43.9,44.0,6.44,6.6,1.95,1.9,3.37,3.29,6.19,6.06,40.1,41.5,9.23,9.07,5.1,5.04,-282,-60,46,47
16050,2025/1/22 19:35:24,5.05,5.1,44.0,44.0,51,52,1.9,1.93,3.32,3.38,9.09,9.22,41.4,38.0,292,-63,44.0,43.9,6.43,6.61,1.94,1.91,3.37,3.29,6.17,6.11,40.2,41.6,9.23,9.08,5.1,5.05,6994,14,46,47
16051,2025/1/22 19:35:24,5.05,5.09,43.9,44.0,51,52,1.9,1.93,3.32,3.38,9.1,9.23,41.4,38.0,55,23,43.9,44.0,6.43,6.61,1.94,1.91,3.37,3.3,6.17,6.11,40.2,41.6,9.23,9.07,5.1,5.04,-34,4,46,47
16052,2025/1/22 19:35:25,5.06,5.09,43.9,44.0,51,52,1.9,1.93,3.32,3.38,9.1,9.23,41.4,38.0,5,72,44.0,44.0,6.44,6.61,1.94,1.91,3.37,3.29,6.21,6.11,40.2,41.6,9.2,9.03,5.1,5.04,-9,24,46,47
16053,2025/1/22 19:35:25,5.06,5.1,43.9,44.0,51,52,1.9,1.93,3.32,3.38,9.09,9.23,41.4,38.0,138,-1,44.0,44.0,6.42,6.59,1.94,1.9,3.37,3.3,6.18,6.05,40.3,41.6,9.22,9.08,5.11,5.05,33,-4,46,47
16054,2025/1/22 19:35:26,5.06,5.09,43.9,43.9,51,52,1.9,1.93,3.32,3.38,9.1,9.22,41.4,38.0,-32,-42,44.0,44.0,6.42,6.59,1.94,1.9,3.37,3.29,6.18,6.11,40.3,41.5,9.23,9.08,5.11,5.05,55,-5,46,47
16055,2025/1/22 19:35:26,5.06,5.1,43.9,44.0,51,52,1.91,1.94,3.32,3.38,9.1,9.23,41.5,38.0,-50,17,43.9,44.0,6.44,6.59,1.94,1.9,3.37,3.3,6.13,6.06,40.3,41.6,9.22,9.07,5.11,5.05,-25,-18,46,47
16056,2025/1/22 19:35:27,5.05,5.09,43.9,44.0,51,52,1.91,1.93,3.32,3.38,9.09,9.23,41.5,38.0,-383,-70,44.0,44.0,6.43,6.59,1.94,1.91,3.37,3.29,6.17,6.11,40.2,41.6,9.26,9.08,5.12,5.05,370,85,46,47
16057,2025/1/22 19:35:27,5.05,5.09,44.0,44.0,51,52,1.9,1.93,3.32,3.38,9.1,9.22,41.5,38.0,232,441,44.0,44.0,6.43,6.59,1.94,1.91,3.37,3.29,6.2,6.11,40.2,41.6,9.23,9.06,5.1,5.05,-76,-45,46,47
16058,2025/1/22 19:35:28,5.06,5.09,43.9,44.0,51,52,1.9,1.94,3.32,3.38,9.09,9.23,41.6,38.0,-10,-15,44.0,44.0,6.44,6.59,1.95,1.91,3.37,3.29,6.16,6.11,40.1,41.5,9.24,9.07,5.1,5.04,-182,-6,46,47
16059,2025/1/22 19:35:28,5.06,5.1,44.0,44.0,51,52,1.91,1.93,3.31,3.38,9.1,9.23,41.6,38.0,26,-7,44.0,44.0,6.43,6.6,1.94,1.91,3.37,3.29,6.16,6.11,40.1,41.6,9.22,9.07,5.1,5.05,5893,-66,46,47
16060,2025/1/22 19:35:29,5.06,5.09,44.0,44.0,51,52,1.9,1.93,3.32,3.38,9.09,9.23,41.6,38.0,190,-89,44.0,44.0,6.42,6.6,1.95,1.9,3.37,3.3,6.21,6.12,40.0,41.6,9.23,9.07,5.1,5.05,-41,-27,46,47
16061,2025/1/22 19:35:29,5.05,5.09,44.0,44.0,51,52,1.9,1.93,3.32,3.38,9.1,9.22,41.6,38.0,-56,-27,44.0,44.0,6.42,6.59,1.94,1.9,3.36,3.3,6.16,6.12,40.0,41.6,9.21,9.08,5.1,5.05,265,-51,46,47
16062,2025/1/22 19:35:30,5.06,5.09,44.0,44.0,51,52,1.9,1.93,3.32,3.38,9.1,9.23,41.7,38.0,25,-1,44.0,44.0,6.42,6.59,1.94,1.91,3.37,3.3,6.18,6.11,40.0,41.6,9.23,9.04,5.1,5.05,-10,-2,46,47
16063,2025/1/22 19:35:30,5.06,5.1,44.0,43.9,51,52,1.91,1.94,3.32,3.38,9.1,9.22,41.7,38.0,2,5,43.9,43.9,6.43,6.59,1.95,1.9,3.37,3.29,6.17,6.13,40.0,41.6,9.21,9.06,5.1,5.05,42,-9,46,47
16064,2025/1/22 19:35:31,5.06,5.1,44.0,44.0,51,52,1.91,1.93,3.32,3.38,9.1,9.23,41.7,38.0,63,-29,43.9,43.9,6.43,6.59,1.94,1.9,3.37,3.29,6.19,6.05,40.0,41.6,9.23,9.07,5.1,5.05,354,33,46,47
16065,2025/1/22 19:35:32,5.05,5.09,44.0,43.9,51,52,1.9,1.93,3.32,3.38,9.09,9.23,41.7,38.0,-44,-17,43.9,43.9,6.44,6.59,1.94,1.91,3.37,3.29,6.14,6.11,40.1,41.6,9.23,9.08,5.11,5.05,-46,-21,46,47
16066,2025/1/22 19:35:32,5.06,5.09,44.0,43.9,51,52,1.9,1.93,3.32,3.38,9.1,9.23,41.7,38.0,23,-2,43.9,43.9,6.42,6.58,1.95,1.91,3.37,3.3,6.06,6.07,40.1,41.6,9.23,9.08,5.1,5.05,148,-31,46,47
16067,2025/1/22 19:35:33,5.06,5.09,43.9,43.9,51,52,1.91,1.94,3.32,3.38,9.1,9.23,41.7,38.0,-285,-110,43.9,43.9,6.43,6.58,1.94,1.9,3.37,3.3,6.16,6.11,40.1,41.5,9.22,9.07,5.1,5.05,6543,84,46,47
16068,2025/1/22 19:35:33,5.05,5.1,44.0,43.9,51,52,1.9,1.94,3.32,3.38,9.1,9.23,41.8,38.0,122,15,44.0,43.9,6.44,6.59,1.94,1.91,3.37,3.29,6.18,6.1,40.1,41.5,9.23,9.08,5.1,5.05,241,142,46,47
16069,2025/1/22 19:35:34,5.06,5.09,43.9,43.9,51,52,1.9,1.93,3.31,3.38,9.1,9.23,41.8,38.0,-159,-54,44.0,43.9,6.42,6.57,1.94,1.91,3.37,3.3,6.17,6.1,40.2,41.6,9.23,9.08,5.1,5.05,-66,-76,46,47
16070,2025/1/22 19:35:34,5.05,5.1,43.9,43.9,51,52,1.9,1.94,3.32,3.38,9.1,9.23,41.8,37.9,225,65,44.0,43.9,6.43,6.59,1.94,1.91,3.37,3.29,6.14,6.11,40.2,41.6,9.23,9.04,5.1,5.05,93,-58,46,47
16071,2025/1/22 19:35:35,5.06,5.1,43.9,43.9,51,52,1.9,1.93,3.32,3.38,9.11,9.23,41.8,37.9,-21,17,43.9,43.9,6.42,6.58,1.94,1.91,3.37,3.29,6.2,6.09,40.2,41.5,9.22,9.07,5.1,5.05,61,313,46,47
16072,2025/1/22 19:35:35,5.06,5.09,44.0,43.9,51,52,1.9,1.93,3.32,3.38,9.1,9.23,41.8,38.0,-253,19,44.0,43.9,6.44,6.58,1.94,1.91,3.37,3.29,6.16,6.1,40.3,41.6,9.23,9.08,5.1,5.05,-73,-158,46,47
16073,2025/1/22 19:35:36,5.06,5.09,44.0,43.9,51,52,1.9,1.93,3.32,3.38,9.09,9.22,41.8,38.0,878,500,44.0,43.9,6.43,6.57,1.94,1.9,3.37,3.3,6.18,6.09,40.3,41.5,9.22,9.07,5.1,5.05,321,118,46,47
16074,2025/1/22 19:35:36,5.05,5.1,43.9,43.9,51,52,1.9,1.93,3.32,3.38,9.1,9.23,41.8,37.9,7,-1,44.0,43.9,6.42,6.58,1.94,1.9,3.37,3.29,6.21,6.1,40.3,41.6,9.23,9.04,5.1,5.05,-333,-94,46,47
16075,2025/1/22 19:35:37,5.06,5.1,44.0,43.9,51,53,1.9,1.93,3.32,3.38,9.1,9.22,41.8,38.0,-60,-142,43.9,43.9,6.44,6.6,1.94,1.91,3.37,3.3,6.16,6.06,40.4,41.5,9.24,9.08,5.1,5.05,6765,86,46,47
16076,2025/1/22 19:35:37,5.06,5.1,44.0,43.9,51,52,1.9,1.93,3.32,3.38,9.1,9.23,41.7,37.9,41,-20,44.0,43.9,6.41,6.59,1.96,1.91,3.37,3.29,6.18,6.15,40.4,41.5,9.23,9.08,5.1,5.04,265,-68,46,47
16077,2025/1/22 19:35:38,5.06,5.1,44.0,43.9,51,52,1.9,1.93,3.32,3.38,9.09,9.23,41.7,37.9,-28,-12,44.0,43.9,6.42,6.58,1.94,1.9,3.37,3.29,6.17,6.09,40.4,41.5,9.23,9.09,5.11,5.05,-40,-76,46,47
16078,2025/1/22 19:35:38,5.06,5.1,43.9,44.0,50,52,1.91,1.93,3.32,3.38,9.1,9.24,41.6,37.9,-265,-94,44.0,43.9,6.43,6.57,1.94,1.91,3.37,3.29,6.15,6.13,40.4,41.6,9.23,9.08,5.12,5.05,11,6,46,47
16079,2025/1/22 19:35:39,5.06,5.1,43.9,43.8,51,52,1.9,1.93,3.32,3.38,9.1,9.23,41.5,38.0,133,36,44.0,43.9,6.42,6.58,1.94,1.91,3.37,3.3,6.2,6.09,40.5,41.5,9.26,9.06,5.1,5.05,46,-17,46,47
16080,2025/1/22 19:35:39,5.05,5.1,44.0,43.9,51,52,1.91,1.93,3.32,3.38,9.09,9.23,41.5,38.0,45,-57,43.9,43.9,6.4,6.59,1.94,1.9,3.37,3.3,6.17,6.07,40.5,41.5,9.21,9.08,5.11,5.04,48,-16,46,47
16081,2025/1/22 19:35:40,5.06,5.09,43.9,44.0,51,52,1.91,1.93,3.32,3.38,9.1,9.23,41.5,37.9,-98,-19,44.0,43.9,6.46,6.58,1.94,1.91,3.37,3.29,6.2,6.11,40.4,41.6,9.23,9.08,5.11,5.05,286,110,46,47
16082,2025/1/22 19:35:40,5.06,5.09,44.0,43.9,51,52,1.91,1.94,3.32,3.38,9.1,9.26,41.5,37.9,235,-83,44.0,43.9,6.44,6.58,1.95,1.91,3.37,3.3,6.17,6.11,40.4,41.5,9.23,9.07,5.1,5.05,-319,468,46,47
16083,2025/1/22 19:35:41,5.05,5.1,44.0,43.9,51,52,1.9,1.94,3.32,3.38,9.1,9.22,41.5,37.9,-28,9,44.0,43.9,6.43,6.58,1.94,1.9,3.37,3.3,6.21,6.1,40.3,41.6,9.23,9.08,5.1,5.05,267,96,46,47
16084,2025/1/22 19:35:41,5.06,5.09,44.0,43.9,50,52,1.9,1.94,3.32,3.38,9.1,9.22,41.5,37.9,-121,-144,44.0,43.9,6.43,6.59,1.94,1.9,3.38,3.29,6.19,6.11,40.3,41.5,9.22,9.08,5.1,5.05,75,1,46,47
16085,2025/1/22 19:35:42,5.05,5.09,44.0,43.9,51,52,1.9,1.93,3.32,3.38,9.1,9.23,41.5,37.9,103,16,44.0,43.9,6.42,6.59,1.94,1.91,3.37,3.3,6.12,6.1,40.2,41.5,9.23,9.07,5.1,5.05,-2,-27,46,47
16086,2025/1/22 19:35:43,5.05,5.09,43.9,43.9,51,52,1.9,1.93,3.32,3.38,9.08,9.23,41.5,37.9,116,-15,44.0,43.9,6.42,6.59,1.94,1.91,3.37,3.3,6.17,6.1,40.2,41.5,9.22,9.07,5.1,5.05,-499,-184,46,47
16087,2025/1/22 19:35:43,5.05,5.1,43.9,43.9,51,52,1.9,1.94,3.32,3.38,9.1,9.23,41.5,37.9,-70,-110,44.0,43.9,6.39,6.6,1.94,1.91,3.37,3.3,6.17,6.11,40.2,41.6,9.22,9.08,5.1,5.05,-5743,-1169,46,47
16088,2025/1/22 19:35:44,5.05,5.09,43.9,43.9,51,52,1.9,1.94,3.32,3.38,9.09,9.23,41.5,37.9,-95,27,43.9,43.9,6.44,6.59,1.95,1.91,3.37,3.29,6.18,6.1,40.2,41.5,9.23,9.08,5.1,5.05,255,89,46,47
16089,2025/1/22 19:35:44,5.05,5.1,44.0,43.9,51,52,1.9,1.93,3.32,3.38,9.1,9.23,41.6,37.9,85,9,44.0,43.9,6.43,6.58,1.94,1.9,3.37,3.3,6.12,6.1,40.3,41.5,9.23,9.08,5.1,5.05,1686,-27,46,47
16090,2025/1/22 19:35:45,5.06,5.1,44.0,44.0,51,52,1.9,1.93,3.32,3.38,9.1,9.24,41.6,37.9,27,10,44.0,43.9,6.42,6.59,1.94,1.91,3.37,3.3,6.17,6.09,40.3,41.5,9.21,9.08,5.11,5.05,37,-29,46,47
16091,2025/1/22 19:35:45,5.06,5.09,43.9,44.0,51,52,1.91,1.94,3.32,3.38,9.1,9.23,41.6,38.0,153,295,43.9,44.0,6.43,6.59,1.94,1.91,3.37,3.3,6.16,6.12,40.3,41.6,9.23,9.07,5.1,5.05,3,13,46,47
16092,2025/1/22 19:35:46,5.05,5.1,43.9,44.0,51,52,1.9,1.93,3.32,3.38,9.09,9.22,41.7,37.9,-123,-152,43.9,44.0,6.44,6.59,1.95,1.9,3.37,3.29,6.16,6.11,40.3,41.5,9.21,9.07,5.1,5.04,-130,-157,46,47
16093,2025/1/22 19:35:46,5.05,5.1,43.9,44.0,51,52,1.9,1.94,3.32,3.38,9.09,9.23,41.7,37.9,-7041,-336,44.0,44.0,6.43,6.59,1.94,1.9,3.37,3.29,6.18,6.11,40.4,41.5,9.22,9.07,5.1,5.05,-262,-126,46,47
16094,2025/1/22 19:35:47,5.05,5.09,44.0,44.0,51,52,1.91,1.94,3.32,3.38,9.1,9.23,41.7,37.9,-10,0,43.9,44.0,6.42,6.6,1.94,1.9,3.37,3.29,6.18,6.08,40.4,41.6,9.23,9.07,5.11,5.05,-317,-166,46,47
16095,2025/1/22 19:35:47,5.06,5.09,44.0,44.0,51,52,1.9,1.94,3.32,3.38,9.1,9.23,41.7,37.9,45,352,43.9,44.0,6.41,6.6,1.95,1.9,3.37,3.29,6.19,6.11,40.4,41.6,9.21,9.07,5.1,5.05,40,-68,46,47
16096,2025/1/22 19:35:48,5.06,5.09,43.9,43.9,51,53,1.9,1.94,3.32,3.38,9.1,9.23,41.7,37.9,312,80,43.9,44.0,6.42,6.6,1.94,1.9,3.37,3.29,6.18,6.06,40.5,41.5,9.24,9.07,5.1,5.05,-16,15,46,47
16097,2025/1/22 19:35:48,5.06,5.1,43.9,43.8,51,52,1.9,1.93,3.32,3.38,9.1,9.24,41.7,37.9,-267,-155,43.9,44.0,6.42,6.61,1.95,1.91,3.37,3.29,6.2,6.12,40.5,41.5,9.22,9.07,5.1,5.05,45,-3,46,47
16098,2025/1/22 19:35:49,5.06,5.1,43.9,43.8,51,52,1.9,1.94,3.32,3.38,9.09,9.23,41.8,37.9,329,29,43.9,44.0,6.44,6.58,1.94,1.9,3.37,3.29,6.13,6.1,40.5,41.5,9.23,9.07,5.1,5.05,-33,21,46,47
16099,2025/1/22 19:35:50,5.06,5.09,43.9,43.8,51,52,1.91,1.93,3.31,3.38,9.09,9.23,41.8,37.9,25,70,44.0,44.0,6.43,6.59,1.94,1.9,3.37,3.29,6.18,6.13,40.5,41.5,9.22,9.08,5.12,5.05,-8,10,46,47
16100,2025/1/22 19:35:50,5.06,5.09,43.9,43.8,51,52,1.9,1.94,3.32,3.38,9.09,9.23,41.8,38.0,57,29,43.9,44.0,6.42,6.58,1.95,1.9,3.36,3.29,6.2,6.13,40.5,41.5,9.22,9.07,5.11,5.05,2,16,46,47
16101,2025/1/22 19:35:51,5.06,5.09,43.9,43.8,51,52,1.9,1.93,3.32,3.38,9.1,9.23,41.7,38.0,-549,-110,44.0,44.0,6.42,6.58,1.94,1.91,3.37,3.29,6.18,6.13,40.4,41.5,9.23,9.03,5.11,5.05,-15,1,46,47
16102,2025/1/22 19:35:51,5.06,5.09,43.9,43.8,51,52,1.9,1.94,3.32,3.38,9.1,9.22,41.7,38.0,65,6,44.0,44.0,6.43,6.58,1.94,1.9,3.37,3.29,6.16,6.07,40.3,41.4,9.2,9.07,5.1,5.05,11,11,46,47
16103,2025/1/22 19:35:52,5.05,5.09,43.9,43.8,51,52,1.91,1.93,3.32,3.38,9.1,9.23,41.7,38.0,251,158,44.0,44.0,6.44,6.58,1.95,1.91,3.37,3.29,6.17,6.07,40.2,41.5,9.22,9.07,5.1,5.05,1,31,46,47
