层数,序号,时间,中效滤芯阻力(mBar),高效滤芯阻力(mBar),尘气室蝶阀状态(),净气室蝶阀状态(),刮刀位置(mm),刮刀扭矩(%),加工平台位置(mm),加工平台扭矩(%),压缩空气压力(Bar),环境氧含量(%),过滤器气源压力(Bar),脉冲清灰压力(Bar),成形室压力(mBar),成形室温度(℃),加热板温度(℃),氩气压力(Bar),气动蝶阀压力(Bar),循环气体实时流量(m3/h),风机转速(%),净气室压力(mBar),落粉轴角度(°),落粉轴扭矩(%),储粉桶物位计(mm),成形室氧含量(%)
10,12701,2024-12-02 18:33:29,3.578508,2.112453,1,1,520.0,13.632812,98.901,-9.699846,5.530961,19.331596,4.803964,3.431713,1.759983,30.381945,26.1,4.829282,5.404369,479.543488,40.898571,-4.574654,256.781,-6.230468,245,0.0107
10,12702,2024-12-02 18:33:29,3.576622,2.116821,1,1,520.0,13.574218,98.901,-9.639031,5.530961,19.331596,4.803964,3.431713,1.742622,30.381945,26.1,4.829282,5.404369,479.543488,40.898571,-4.574654,256.781,-6.09375,246,0.0107
10,12703,2024-12-02 18:33:30,3.57187,2.111916,1,1,509.88,-44.27734,99.401,4.804312,5.530237,19.331596,4.803241,3.431713,1.729601,30.381945,26.1,4.828559,5.404369,452.306519,40.992737,-4.578993,256.781,-6.074218,245,0.0107
10,12704,2024-12-02 18:33:30,3.570054,2.121379,1,1,417.364,-42.519527,99.401,-4.925941,5.532407,19.331596,4.803964,3.431713,1.72309,30.381945,26.1,4.827836,5.404369,448.681427,40.998619,-4.583334,256.781,-5.761718,245,0.0107
10,12705,2024-12-02 18:33:31,3.565838,2.117252,1,1,326.132,-41.230465,99.401,-7.997052,5.532407,19.329428,4.803964,3.431713,1.72309,30.381945,26.1,4.827836,5.404369,446.574127,40.998619,-4.587673,256.781,-6.074218,245,0.0107
10,12706,2024-12-02 18:33:31,3.565838,2.117252,1,1,326.132,-41.230465,99.401,-7.997052,5.532407,19.329428,4.803964,3.431713,1.72309,30.381945,26.1,4.827836,5.404369,446.574127,40.998619,-4.587673,256.781,-6.074218,245,0.0107
10,12707,2024-12-02 18:33:32,3.557369,2.098866,1,1,105.319,-38.925777,99.401,-4.439428,5.530961,19.331596,4.803241,3.431713,1.697049,30.381945,26.1,4.827112,5.404369,441.909393,41.098675,-4.583334,256.781,-5.9375,246,0.0107
10,12708,2024-12-02 18:33:32,3.557369,2.098866,1,1,105.319,-38.925777,99.401,-4.439428,5.530961,19.331596,4.803241,3.431713,1.697049,30.381945,26.1,4.827112,5.404369,441.909393,41.098675,-4.583334,256.781,-5.9375,246,0.0107
10,12709,2024-12-02 18:33:33,3.561426,2.144652,1,1,-3.572,7.812499,99.058,-23.535049,5.530961,19.329428,4.803241,3.431713,1.673177,30.381945,26.1,4.829282,5.404369,447.037231,41.19873,-4.631077,256.781,-5.3125,245,0.0107
10,12710,2024-12-02 18:33:33,3.564743,2.15527,1,1,-5.063,-6.113281,98.941,-13.075027,5.530961,19.329428,4.803241,3.431713,1.744792,30.381945,26.1,4.827836,5.404369,452.306519,41.19873,-4.626736,296.994,-27.382811,245,0.0107
10,12711,2024-12-02 18:33:34,3.56905,2.1658,1,1,-5.008,-1.953125,98.941,-4.10495,5.531684,19.331596,4.79022,3.431713,1.786024,30.381945,26.1,4.769242,5.404369,460.993958,41.19873,-4.665798,347.083,-0.078125,245,0.0107
10,12712,2024-12-02 18:33:34,3.575207,2.167491,1,1,-4.998,-0.878906,98.941,-5.382046,5.532407,19.331596,4.801794,3.431713,1.744792,30.381945,26.1,4.828559,5.404369,460.993958,41.19873,-4.626736,346.799,2.617187,245,0.0107
10,12713,2024-12-02 18:33:35,3.577691,2.146969,1,1,7.946,24.628904,98.941,-5.625302,5.532407,19.331596,4.806134,3.431713,1.781684,30.367477,26.1,4.830729,5.404369,465.459961,41.19873,-4.613716,346.768,3.222656,245,0.0107
10,12714,2024-12-02 18:33:36,3.577691,2.146969,1,1,7.946,24.628904,98.941,-5.625302,5.532407,19.331596,4.806134,3.431713,1.781684,30.367477,26.1,4.830729,5.404369,465.459961,41.19873,-4.613716,346.768,3.222656,245,0.0107
10,12715,2024-12-02 18:33:36,3.572645,2.149954,1,1,46.149,24.687498,98.941,-5.868559,5.531684,19.329428,4.806134,3.431713,1.729601,30.367477,26.1,4.831452,5.404369,465.638275,41.098675,-4.613716,346.768,0.039062,245,0.0107
10,12716,2024-12-02 18:33:37,3.572645,2.149954,1,1,46.149,24.687498,98.941,-5.868559,5.531684,19.329428,4.806134,3.431713,1.729601,30.367477,26.1,4.831452,5.404369,465.638275,41.098675,-4.613716,346.768,0.039062,245,0.0107
10,12717,2024-12-02 18:33:37,3.575748,2.142464,1,1,61.261,25.898436,98.941,-5.564488,5.532407,19.331596,4.806134,3.431713,1.686198,30.367477,26.1,4.831452,5.404369,462.172974,41.098675,-4.618055,346.772,-0.117187,245,0.0107
