序号,时间,0#AD转换器电压[X轴](V),0#AD转换器电压[Y轴](V),1#振镜温度[X轴](℃),1#振镜温度[Y轴](℃),0#AGC电流[X轴](mA),0#AGC电流[Y轴](mA),0#DSP核心电压[X轴](V),0#DSP核心电压[Y轴](V),0#DSP端口电压[X轴](V),0#DSP端口电压[Y轴](V),0#模拟电压[X轴](V),0#模拟电压[Y轴](V),0#伺服温度[X轴](℃),0#伺服温度[Y轴](℃),0#输出电流[X轴](mA),0#输出电流[Y轴](mA),0#振镜温度[X轴](℃),0#振镜温度[Y轴](℃),0#功率[X轴](W),0#功率[Y轴](W),1#DSP核心电压[X轴](V),1#DSP核心电压[Y轴](V),1#DSP端口电压[X轴](V),1#DSP端口电压[Y轴](V),1#功率[X轴](W),1#功率[Y轴](W),1#伺服温度[X轴](℃),1#伺服温度[Y轴](℃),1#模拟电压[X轴](V),1#模拟电压[Y轴](V),1#AD转换器电压[X轴](V),1#AD转换器电压[Y轴](V),1#输出电流[X轴](mA),1#输出电流[Y轴](mA),1#AGC电流[X轴](mA),1#AGC电流[Y轴](mA)
21388,2025/2/25 11:32:28,5.05,5.05,44.0,44.0,56,48,1.9,1.91,3.31,3.31,9.07,9.06,41.6,44.0,-259,29,43.9,43.9,6.74,6.13,1.89,1.92,3.28,3.35,6.35,6.46,45.0,42.9,9.01,9.16,5.02,5.07,-62,-70,50,51
21389,2025/2/25 11:32:29,5.05,5.06,44.0,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.07,41.7,44.0,-163,-3,43.9,43.9,6.76,6.19,1.89,1.92,3.28,3.35,6.34,6.47,45.1,42.9,9.01,9.17,5.02,5.06,6,-10,50,51
21390,2025/2/25 11:32:29,5.05,5.05,44.0,44.0,56,48,1.91,1.91,3.31,3.31,9.06,9.06,41.8,44.0,225,-39,43.9,44.0,6.76,6.2,1.89,1.92,3.28,3.36,6.35,6.49,45.1,42.9,9.01,9.17,5.02,5.07,0,-2209,51,51
21391,2025/2/25 11:32:30,5.05,5.05,44.0,43.9,56,48,1.9,1.91,3.31,3.31,9.06,9.06,41.9,44.0,109,372,44.0,43.9,6.71,6.18,1.88,1.92,3.28,3.35,6.33,6.45,45.1,42.9,9.01,9.16,5.03,5.06,38,105,50,51
21392,2025/2/25 11:32:30,5.05,5.05,44.0,43.9,56,48,1.9,1.91,3.31,3.32,9.07,9.07,42.0,44.0,90,360,43.9,43.9,6.78,6.18,1.89,1.92,3.28,3.35,6.34,6.47,45.1,42.9,9.01,9.16,5.02,5.07,6,1601,50,51
21393,2025/2/25 11:32:31,5.05,5.05,44.0,44.0,56,48,1.91,1.91,3.31,3.31,9.06,9.07,42.0,44.0,-66,-42,43.9,43.9,6.77,6.21,1.89,1.92,3.28,3.35,6.34,6.46,45.1,42.9,9.01,9.16,5.02,5.07,-1,4,51,51
21394,2025/2/25 11:32:31,5.05,5.05,44.0,43.9,56,48,1.9,1.91,3.31,3.31,9.06,9.07,42.2,44.0,68,193,44.0,43.9,6.77,6.18,1.89,1.92,3.28,3.35,6.33,6.46,45.0,42.9,9.02,9.16,5.02,5.07,-7,37,51,51
21395,2025/2/25 11:32:32,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.07,9.06,42.2,44.0,332,390,44.0,44.0,6.74,6.18,1.88,1.92,3.28,3.35,6.36,6.45,44.9,43.0,9.01,9.16,5.02,5.06,31,106,51,51
21396,2025/2/25 11:32:33,5.05,5.05,44.0,44.0,56,48,1.9,1.91,3.31,3.31,9.06,9.07,42.3,44.0,-78,-157,44.0,43.9,6.76,6.19,1.89,1.92,3.28,3.35,6.34,6.47,44.9,43.0,9.01,9.16,5.02,5.07,35,-128,51,51
21397,2025/2/25 11:32:33,5.05,5.05,44.0,44.0,56,48,1.9,1.91,3.31,3.31,9.06,9.06,42.4,44.0,259,234,44.0,43.9,6.78,6.25,1.89,1.92,3.28,3.35,6.37,6.48,44.8,43.0,9.01,9.17,5.02,5.06,9,22,51,51
21398,2025/2/25 11:32:34,5.05,5.05,44.0,44.0,56,48,1.9,1.91,3.31,3.31,9.06,9.06,42.5,44.0,-56,-2,44.0,43.9,6.76,6.19,1.89,1.92,3.28,3.35,6.33,6.46,44.7,43.0,9.01,9.16,5.02,5.07,-26,-9,50,51
21399,2025/2/25 11:32:34,5.05,5.06,44.0,44.0,56,48,1.9,1.91,3.31,3.31,9.06,9.07,42.5,44.0,126,-16,44.0,43.9,6.76,6.19,1.89,1.92,3.28,3.35,6.33,6.45,44.7,43.0,9.0,9.16,5.02,5.07,4026,790,51,51
21400,2025/2/25 11:32:35,5.05,5.06,44.0,44.0,56,48,1.9,1.91,3.31,3.31,9.06,9.07,42.6,44.0,-259,-137,44.0,43.9,6.78,6.18,1.89,1.92,3.28,3.35,6.34,6.46,44.6,43.0,9.01,9.18,5.02,5.07,38,-18,51,51
21401,2025/2/25 11:32:35,5.05,5.05,44.0,43.9,57,47,1.91,1.91,3.31,3.31,9.07,9.07,42.6,44.0,-322,-74,44.0,43.9,6.78,6.21,1.88,1.92,3.28,3.35,6.38,6.45,44.6,43.0,9.01,9.16,5.02,5.06,-53,50,51,51
21402,2025/2/25 11:32:36,5.05,5.05,44.0,44.0,56,48,1.91,1.91,3.31,3.31,9.06,9.07,42.7,44.0,33,-29,44.0,43.9,6.77,6.2,1.89,1.92,3.28,3.35,6.34,6.46,44.6,43.1,9.0,9.16,5.02,5.06,149,22,51,51
21403,2025/2/25 11:32:36,5.05,5.05,44.0,44.0,56,48,1.9,1.91,3.31,3.31,9.07,9.06,42.7,44.0,173,91,44.0,43.9,6.75,6.18,1.89,1.92,3.28,3.35,6.34,6.47,44.7,43.1,8.99,9.16,5.02,5.06,16,53,51,51
21404,2025/2/25 11:32:37,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.06,42.8,44.0,94,-75,44.0,43.9,6.74,6.18,1.89,1.92,3.28,3.35,6.34,6.45,44.8,43.1,9.01,9.17,5.01,5.07,6,37,50,51
21405,2025/2/25 11:32:37,5.05,5.06,44.0,44.0,56,48,1.9,1.91,3.31,3.31,9.06,9.07,42.8,43.9,-312,-192,44.0,43.9,6.75,6.19,1.88,1.92,3.28,3.35,6.31,6.46,44.8,43.1,9.0,9.16,5.02,5.06,100,96,50,51
21406,2025/2/25 11:32:38,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.07,42.9,43.9,89,-109,44.0,43.9,6.75,6.18,1.89,1.92,3.28,3.35,6.34,6.45,44.9,43.1,9.01,9.16,5.02,5.06,-124,-9,50,51
21407,2025/2/25 11:32:38,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.32,3.31,9.06,9.07,42.9,43.9,-291,-298,44.0,43.9,6.78,6.19,1.89,1.92,3.28,3.35,6.34,6.46,45.1,43.1,9.0,9.16,5.02,5.06,-3872,-514,50,51
21408,2025/2/25 11:32:39,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.07,9.06,42.9,43.9,337,325,44.0,43.9,6.75,6.17,1.89,1.92,3.28,3.35,6.33,6.48,45.2,43.1,9.0,9.17,5.02,5.06,3,-40,50,51
21409,2025/2/25 11:32:39,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.07,43.0,44.0,269,183,44.1,43.9,6.78,6.18,1.88,1.92,3.28,3.35,6.33,6.46,45.3,43.1,9.0,9.16,5.02,5.06,5,-38,51,51
21410,2025/2/25 11:32:40,5.05,5.05,44.0,44.0,55,48,1.9,1.91,3.31,3.31,9.06,9.06,43.0,43.9,7,-205,44.1,43.9,6.75,6.2,1.89,1.92,3.28,3.35,6.35,6.45,45.4,43.1,9.01,9.16,5.02,5.07,-989,236,50,51
21411,2025/2/25 11:32:40,5.05,5.05,44.0,44.0,56,47,1.91,1.91,3.31,3.31,9.06,9.07,43.1,44.0,37,-77,44.1,44.0,6.78,6.18,1.89,1.92,3.28,3.35,6.33,6.44,45.5,43.1,9.01,9.17,5.02,5.07,6,36,50,51
21412,2025/2/25 11:32:41,5.05,5.06,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.06,43.1,44.0,24,-10,44.1,43.9,6.78,6.17,1.89,1.92,3.28,3.35,6.35,6.48,45.6,43.1,9.02,9.16,5.02,5.06,-5,58,50,51
21413,2025/2/25 11:32:41,5.04,5.05,44.0,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.06,43.1,44.0,45,67,44.1,44.0,6.75,6.18,1.89,1.92,3.28,3.35,6.34,6.47,45.6,43.1,9.01,9.16,5.02,5.06,-332,3560,50,51
21414,2025/2/25 11:32:42,5.05,5.06,44.0,43.9,56,47,1.91,1.91,3.31,3.31,9.06,9.07,43.1,43.9,40,83,44.1,43.9,6.74,6.18,1.89,1.92,3.28,3.35,6.34,6.46,45.6,43.2,9.01,9.17,5.02,5.07,52,-110,50,51
21415,2025/2/25 11:32:42,5.05,5.05,44.0,44.0,56,47,1.9,1.92,3.31,3.31,9.06,9.07,43.1,44.0,45,49,44.0,44.0,6.75,6.25,1.88,1.92,3.28,3.35,6.34,6.46,45.6,43.3,9.0,9.16,5.02,5.07,0,8,51,51
21416,2025/2/25 11:32:43,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.07,43.2,44.0,91,184,44.1,44.0,6.76,6.11,1.89,1.92,3.28,3.35,6.34,6.48,45.5,43.4,9.01,9.16,5.01,5.06,-4,2,50,51
21417,2025/2/25 11:32:44,5.05,5.05,44.0,44.0,56,48,1.9,1.91,3.31,3.31,9.05,9.07,43.2,43.9,36,63,44.0,44.0,6.79,6.17,1.88,1.92,3.28,3.36,6.34,6.47,45.5,43.5,9.0,9.16,5.02,5.07,-25,103,51,51
21418,2025/2/25 11:32:44,5.05,5.05,44.0,44.0,56,47,1.91,1.91,3.31,3.31,9.06,9.07,43.2,44.0,-2,-239,44.0,44.0,6.75,6.19,1.89,1.92,3.27,3.35,6.33,6.5,45.4,43.6,9.0,9.16,5.02,5.07,-59,0,51,51
21419,2025/2/25 11:32:45,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.07,43.2,44.0,51,106,44.0,44.0,6.75,6.17,1.88,1.92,3.28,3.35,6.35,6.46,45.3,43.7,9.02,9.16,5.02,5.07,9,-29,51,51
21420,2025/2/25 11:32:45,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.07,9.06,43.2,44.0,-404,4,44.0,44.0,6.76,6.18,1.89,1.92,3.28,3.35,6.36,6.49,45.3,43.8,9.01,9.16,5.02,5.06,0,-27,51,51
21421,2025/2/25 11:32:46,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.07,9.07,43.3,43.9,2380,-34,44.0,44.0,6.76,6.18,1.89,1.93,3.28,3.35,6.34,6.45,45.2,44.0,9.0,9.17,5.02,5.07,30,69,50,51
21422,2025/2/25 11:32:46,5.05,5.05,44.0,44.0,56,47,1.91,1.91,3.31,3.31,9.06,9.07,43.3,44.0,180,1,44.0,44.0,6.78,6.16,1.89,1.92,3.28,3.35,6.33,6.48,45.1,44.1,9.01,9.17,5.02,5.07,45,-21,51,51
21423,2025/2/25 11:32:47,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.05,43.3,44.0,52,348,44.0,44.0,6.76,6.2,1.88,1.92,3.27,3.35,6.33,6.46,45.1,44.2,8.99,9.16,5.02,5.07,54,-96,50,51
21424,2025/2/25 11:32:47,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.06,43.3,44.0,247,170,43.9,44.0,6.74,6.18,1.89,1.92,3.28,3.35,6.31,6.47,45.0,44.2,9.0,9.16,5.02,5.08,7,-14,51,51
21425,2025/2/25 11:32:48,5.05,5.06,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.06,43.3,43.9,52,26,44.0,44.0,6.75,6.18,1.89,1.92,3.28,3.35,6.34,6.46,45.0,44.2,9.04,9.17,5.02,5.06,1972,2070,50,51
21426,2025/2/25 11:32:48,5.07,5.05,44.0,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.07,43.3,44.0,-80,-66,43.9,44.0,6.75,6.16,1.88,1.92,3.28,3.35,6.33,6.45,45.0,44.2,9.01,9.16,5.03,5.07,110,3,50,51
21427,2025/2/25 11:32:49,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.07,9.06,43.3,44.0,-75,-80,43.9,44.0,6.76,6.18,1.88,1.92,3.28,3.36,6.36,6.48,45.1,44.3,9.0,9.17,5.02,5.07,20,10,51,51
21428,2025/2/25 11:32:49,5.05,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.07,9.05,43.3,43.9,247,173,43.9,44.0,6.76,6.18,1.88,1.92,3.28,3.35,6.33,6.46,45.1,44.3,9.0,9.17,5.02,5.06,-1103,-288,50,51
21429,2025/2/25 11:32:50,5.05,5.05,43.9,44.0,56,47,1.91,1.91,3.31,3.31,9.06,9.07,43.4,43.9,-5535,-271,43.9,44.0,6.78,6.17,1.89,1.92,3.28,3.35,6.35,6.46,45.2,44.2,9.0,9.16,5.02,5.06,-4226,-2710,51,51
21430,2025/2/25 11:32:50,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.06,43.4,43.9,-1,-3,43.9,44.0,6.76,6.17,1.89,1.92,3.28,3.35,6.35,6.46,45.3,44.2,9.01,9.16,5.02,5.07,-182,-44,50,51
21431,2025/2/25 11:32:51,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.07,43.4,43.9,-83,-25,43.9,44.0,6.76,6.17,1.89,1.92,3.28,3.35,6.33,6.45,45.4,44.2,9.0,9.17,5.01,5.06,8,49,50,51
