层数,序号,时间,成形室压力(mBar),成形室温度(℃),加热板温度(℃),氩气压力(Bar),CPU占用率(%),内存占用率(%),硬盘剩余容量(%),网络占用率(%),中效滤芯阻力(mBar),高效滤芯阻力(mBar),尘气室蝶阀状态(),净气室蝶阀状态(),刮刀位置(mm),刮刀扭矩(%),加工平台位置(mm),加工平台扭矩(%),卸灰蝶阀状态(),过滤器安全门锁(),压缩空气压力(Bar),环境氧含量(%),过滤器气源压力(Bar),脉冲清灰压力(Bar),基材加热监控用PT100(℃),基材加热PT100偏差(℃),预涂料钝化压力(Bar),喷水压力(Bar),气动蝶阀压力(Bar),循环气体实时流量(m3/h),风机转速(%),净气室压力(mBar),落粉轴角度(°),落粉轴扭矩(%),储粉桶物位计(mm),成形室氧含量(%),过滤器氧含量(%),灰桶料位(%),预涂料剩余重量(g),预涂料蝶阀状态()
398,181621,2025-05-17 23:25:26,2.467448,43.258102,63.400002,5.153357,,,,,4.324156,1.726734,1.0,1.0,530.0,26.523436,57.936,-10.064731,1.0,1.0,4.690393,20.926649,5.250289,5.113571,61.5,1.900002,4.696904,0.045573,4.696904,484.648621,44.494629,-4.618055,119.002,-31.855465,197.0,0.001,0.001,0.0,0.0,1.0
398,181622,2025-05-17 23:25:27,2.480469,43.258102,63.400002,5.152633,,,,,4.321167,1.679663,1.0,1.0,499.176,-46.015621,58.436,5.351639,1.0,1.0,4.688947,20.924479,5.250289,5.113571,61.5,1.900002,4.696904,0.045573,4.696904,484.648621,44.494629,-4.674479,119.002,-31.77734,197.0,0.001,0.001,0.0,0.0,1.0
398,181623,2025-05-17 23:25:27,2.382813,43.258102,63.400002,5.152633,,,,,4.323017,1.682056,1.0,1.0,378.896,-45.097652,58.436,-8.301122,1.0,1.0,4.690393,20.924479,5.250289,5.113571,61.5,1.900002,4.696904,0.045573,4.696904,484.345947,44.494629,-4.652779,119.002,-31.855465,197.0,0.001,0.001,0.0,0.0,1.0
398,181624,2025-05-17 23:25:28,2.382813,43.258102,63.400002,5.153357,,,,,4.323486,1.689843,1.0,1.0,332.47,-37.851559,58.436,-11.40264,1.0,1.0,4.690393,20.926649,5.250289,5.113571,61.5,1.900002,4.696904,0.045573,4.696904,483.069611,44.494629,-4.652779,119.002,-31.874996,197.0,0.001,0.001,0.0,0.0,1.0
398,181625,2025-05-17 23:25:29,2.443576,43.243633,63.400002,5.152633,,,,,4.318702,1.705164,1.0,1.0,242.059,-40.68359,58.436,-11.037756,1.0,1.0,4.68967,20.924479,5.250289,5.113571,61.5,1.900002,4.696904,0.045573,4.696904,483.069611,44.494629,-4.683159,119.002,-31.855465,197.0,0.001,0.001,0.0,0.0,1.0
398,181626,2025-05-17 23:25:29,2.402344,43.243633,63.400002,5.152633,,,,,4.314757,1.703595,1.0,1.0,56.488,-43.33984,58.436,-10.125545,1.0,1.0,4.688947,20.926649,5.249566,5.113571,61.5,1.900002,4.696904,0.045573,4.696904,480.779297,44.494629,-4.6875,119.002,-31.835934,197.0,0.001,0.001,0.0,0.0,1.0
398,181627,2025-05-17 23:25:30,2.404514,43.243633,63.400002,5.152633,,,,,4.317441,1.712333,1.0,1.0,-10.05,-28.18359,58.271,-23.018129,1.0,1.0,4.691117,20.924479,5.249566,5.113571,61.5,1.900002,4.696904,0.045573,4.696904,479.353668,44.494629,-4.722221,119.002,-31.894527,198.0,0.001,0.001,0.0,0.0,1.0
398,181628,2025-05-17 23:25:31,2.406684,43.243633,63.400002,5.15408,,,,,4.314054,1.719708,1.0,1.0,-10.018,-15.078123,57.977,-14.564972,1.0,1.0,4.690393,20.924479,5.250289,5.113571,61.5,1.900002,4.696904,0.045573,4.696904,481.041016,44.494629,-4.67882,153.935,-45.878902,197.0,0.001,0.001,0.0,0.0,1.0
398,181629,2025-05-17 23:25:32,2.428385,43.243633,63.400002,5.153357,,,,,4.315221,1.72438,1.0,1.0,-10.004,-12.753905,57.977,-7.29769,1.0,1.0,4.688947,20.924479,5.249566,5.113571,61.5,1.900002,4.697628,0.045573,4.697628,481.041016,44.494629,-4.639757,203.778,-31.874996,198.0,0.001,0.001,0.0,0.0,1.0
398,181630,2025-05-17 23:25:32,2.354601,43.243633,63.400002,5.15625,,,,,4.313282,1.718045,1.0,1.0,33.144,34.921871,57.977,-7.90583,1.0,1.0,4.68967,20.924479,5.249566,5.113571,61.5,1.900002,4.697628,0.045573,4.697628,481.041016,44.494629,-4.670139,204.02,-30.37109,197.0,0.001,0.001,0.0,0.0,1.0
398,181631,2025-05-17 23:25:33,2.354601,43.229168,63.400002,5.154803,,,,,4.313556,1.719381,1.0,1.0,60.073,34.628902,57.977,-7.358504,1.0,1.0,4.691117,20.924479,5.250289,5.113571,61.5,1.900002,4.696904,0.045573,4.696904,480.016205,44.400459,-4.670139,204.02,-28.632809,197.0,0.001,0.001,0.0,0.0,1.0
398,181632,2025-05-17 23:25:33,2.374132,43.229168,63.400002,5.152633,,,,,4.31347,1.724486,1.0,1.0,108.046,34.335934,57.977,-7.206469,1.0,1.0,4.691117,20.926649,5.250289,5.113571,61.5,1.900002,4.696904,0.045573,4.696904,480.016205,44.494629,-4.69618,204.02,-26.972654,198.0,0.001,0.001,0.0,0.0,1.0
398,181633,2025-05-17 23:25:34,2.415365,43.229168,63.400002,5.152633,,,,,4.317175,1.718393,1.0,1.0,150.052,35.83984,57.977,-6.4767,1.0,1.0,4.691117,20.924479,5.250289,5.114294,61.5,1.900002,4.696904,0.045573,4.696904,480.016205,44.400459,-4.683159,204.02,-25.859373,198.0,0.001,0.001,0.0,0.0,1.0
398,181634,2025-05-17 23:25:35,2.415365,43.229168,63.400002,5.152633,,,,,4.311987,1.714373,1.0,1.0,161.802,37.968746,57.977,-6.324665,1.0,1.0,4.691117,20.926649,5.250289,5.113571,61.5,1.900002,4.696904,0.045573,4.696904,480.016205,44.394573,-4.683159,204.02,-24.999998,197.0,0.001,0.001,0.0,0.0,1.0
