层数,序号,时间,成形室压力(mBar),成形室温度(℃),加热板温度(℃),氩气压力(Bar),中效滤芯阻力(mBar),高效滤芯阻力(mBar),尘气室蝶阀状态(),净气室蝶阀状态(),刮刀位置(mm),刮刀扭矩(%),加工平台位置(mm),加工平台扭矩(%),卸灰蝶阀状态(),预涂料蝶阀状态(),过滤器安全门锁(),过滤器氧含量(%),压缩空气压力(Bar),环境氧含量(%),气体实时流量(m3/h),风机转速(%),成形室氧含量监控用氧传感器(%),成形室氧含量偏差(%),基材加热监控用PT100(℃),基材加热PT100偏差(℃),落粉轴角度(°),落粉轴扭矩(%),储粉桶物位计(mm),成形室氧含量(%),过滤器气源压力(Bar),反吹气包压力(Bar),气动蝶阀压力(Bar),净气室压力(mBar)
164,68428,2025-06-06 02:47:31,30.0,39.192707,46.5,4.345341,14.454353,7.548488,1,1,552.999,13.30078,92.236,-14.899449,1,0,1,0.1,4.273727,0,702.26709,75.896988,0.001,0.0,48.700001,2.200001,249.001,-2.109375,273,0.001,3.538773,3.607494,4.329427,-3.216146
164,68429,2025-06-06 02:47:31,30.0,39.192707,46.5,4.345341,14.454353,7.548488,1,1,552.999,13.30078,92.236,-14.899449,1,0,1,0.1,4.273727,0,702.26709,75.896988,0.001,0.0,48.700001,2.200001,249.001,-2.109375,273,0.001,3.538773,3.607494,4.329427,-3.216146
164,68430,2025-06-06 02:47:32,30.0,39.192707,46.5,4.346788,14.463089,7.549041,1,1,552.999,13.085937,92.236,-15.112299,1,0,1,0.1,4.273727,0,766.025391,75.896988,0.001,0.0,48.700001,2.200001,249.001,-0.507812,273,0.001,3.53805,3.607494,4.330151,-3.181423
164,68431,2025-06-06 02:47:32,30.0,39.192707,46.5,4.346065,14.479804,7.661232,1,1,459.467,-41.679684,92.736,2.1589,1,0,1,0.1,4.273727,0,761.089539,76.093285,0.001,0.0,48.700001,2.200001,249.001,-1.289062,273,0.001,3.53588,3.608217,4.331597,-3.216146
164,68432,2025-06-06 02:47:33,30.0,39.192707,46.5,4.346065,14.479804,7.661232,1,1,459.467,-41.679684,92.736,2.1589,1,0,1,0.1,4.273727,0,761.089539,76.093285,0.001,0.0,48.700001,2.200001,249.001,-1.289062,273,0.001,3.53588,3.608217,4.331597,-3.216146
164,68433,2025-06-06 02:47:33,30.0,39.192707,46.5,4.346065,14.488358,7.683259,1,1,365.872,-41.93359,92.736,-9.973509,1,0,1,0.1,4.273727,0,767.721252,76.099236,0.001,0.0,48.700001,2.200001,249.001,-0.371094,273,0.001,3.537326,3.606771,4.330874,-3.125
164,68434,2025-06-06 02:47:34,30.0,39.192707,46.5,4.346065,14.500401,7.653427,1,1,151.481,-42.519527,92.736,-12.649329,1,0,1,0.1,4.273727,0,763.794556,76.194412,0.001,0.0,48.700001,2.200001,249.001,-1.347656,273,0.001,3.536603,3.607494,4.329427,-3.307291
164,68435,2025-06-06 02:47:34,30.0,39.192707,46.5,4.346788,14.498552,7.628785,1,1,62.689,-42.226559,92.736,-13.044621,1,0,1,0.1,4.273727,0,752.60968,76.295532,0.001,0.0,48.700001,2.200001,249.001,-2.128906,273,0.001,3.537326,3.607494,4.330874,-3.28125
164,68436,2025-06-06 02:47:35,30.0,39.192707,46.5,4.344618,14.507992,7.600132,1,1,-4.856,-24.648436,92.736,-13.166248,1,0,1,0.1,4.273727,0,739.799988,76.295532,0.001,0.0,48.700001,2.200001,249.001,-2.050781,273,0.001,3.537326,3.605324,4.330151,-3.276909
164,68437,2025-06-06 02:47:35,30.0,39.178242,46.5,4.346065,14.530812,7.671175,1,1,-5.018,-13.437499,92.286,-25.389879,1,0,1,0.1,4.273727,0,766.696472,76.39666,0.001,0.0,48.700001,2.200001,249.001,-0.644531,273,0.001,3.53805,3.605324,4.332321,-3.328993
164,68438,2025-06-06 02:47:36,30.0,39.178242,46.5,4.346065,14.540336,7.752769,1,1,-5.0,-12.148437,92.286,-23.352608,1,0,1,0.1,4.273727,0,784.37207,76.39666,0.001,0.0,48.700001,2.200001,296.99,-67.402336,273,0.001,3.53805,3.606771,4.332321,-3.337673
164,68439,2025-06-06 02:47:36,30.0,39.178242,46.5,4.345341,14.553713,7.768521,1,1,-4.999,-12.324218,92.286,-22.501209,1,0,1,0.1,4.273727,0,743.058044,76.39666,0.001,0.0,48.700001,2.200001,344.79,-48.554684,273,0.001,3.53805,3.606771,4.329427,-3.342014
164,68440,2025-06-06 02:47:37,30.0,39.178242,46.5,4.345341,14.583647,7.753479,1,1,-4.999,-12.20703,92.286,-17.05835,1,0,1,0.1,4.273727,0,725.563293,76.49778,0.001,0.0,48.700001,2.200001,348.742,-53.417965,273,0.001,3.535156,3.605324,4.329427,-3.402779
164,68441,2025-06-06 02:47:37,30.0,39.178242,46.5,4.345341,14.59949,7.718423,1,1,-4.999,-13.085937,92.286,-14.929857,1,0,1,0.1,4.273727,0,725.711121,76.49778,0.001,0.0,48.700001,2.200001,348.308,-16.113279,273,0.001,3.536603,3.606047,4.330151,-3.459202
164,68442,2025-06-06 02:47:38,30.0,39.163773,46.5,4.345341,14.618107,7.736476,1,1,-4.999,-13.30078,92.286,-13.652761,1,0,1,0.1,4.273727,0,719.080811,76.592957,0.001,0.0,48.700001,2.200001,348.096,-0.898437,273,0.001,3.535156,3.606047,4.330874,-3.42882
164,68443,2025-06-06 02:47:38,30.0,39.163773,46.5,4.346065,14.625671,7.756351,1,1,-4.999,-13.574218,92.286,-13.470319,1,0,1,0.1,4.273727,0,744.483826,76.598915,0.001,0.0,48.700001,2.200001,348.039,0.9375,273,0.001,3.53588,3.607494,4.330151,-3.4375
164,68444,2025-06-06 02:47:39,30.0,39.163773,46.5,4.345341,14.646905,7.72972,1,1,4.76,28.02734,92.286,-13.075027,1,0,1,0.1,4.273727,0,769.536133,76.694084,0.001,0.0,48.700001,2.200001,348.0,1.074219,273,0.001,3.53588,3.606771,4.332321,-3.485243
164,68445,2025-06-06 02:47:39,30.0,39.163773,46.5,4.345341,14.660748,7.746128,1,1,15.58,27.851561,92.286,-12.9534,1,0,1,0.1,4.273727,0,789.464355,76.694084,0.001,0.0,48.700001,2.200001,347.989,1.152344,273,0.001,3.535156,3.606047,4.329427,-3.537327
164,68446,2025-06-06 02:47:40,30.0,39.163773,46.5,4.345341,14.658337,7.768385,1,1,24.938,27.910154,92.286,-12.801364,1,0,1,0.1,4.273727,0,746.017395,76.694084,0.001,0.0,48.700001,2.200001,347.989,-0.019531,273,0.001,3.536603,3.605324,4.330151,-3.441841
164,68447,2025-06-06 02:47:40,30.0,39.149307,46.5,4.346788,14.665029,7.783465,1,1,31.974,27.167967,92.286,-12.801364,1,0,1,0.1,4.273727,0,824.273926,76.694084,0.001,0.0,48.700001,2.200001,347.989,-0.273437,273,0.001,3.536603,3.605324,4.328704,-3.511284
164,68448,2025-06-06 02:47:41,30.0,39.149307,46.5,4.345341,14.679647,7.792894,1,1,42.924,27.519529,92.286,-12.649329,1,0,1,0.1,4.273727,0,784.726563,76.694084,0.001,0.0,48.700001,2.200001,347.989,-0.449219,273,0.001,3.53805,3.606047,4.330151,-3.537327
164,68449,2025-06-06 02:47:41,30.0,39.149307,46.5,4.345341,14.678902,7.780066,1,1,53.403,25.449217,92.286,-12.649329,1,0,1,0.1,4.273727,0,757.122131,76.694084,0.001,0.0,48.700001,2.200001,347.989,-2.695312,273,0.001,3.537326,3.606771,4.330151,-3.433159
164,68450,2025-06-06 02:47:42,30.0,39.149307,46.5,4.346065,14.682002,7.777925,1,1,64.692,24.511717,92.286,-12.5277,1,0,1,0.1,4.273727,0,754.394592,76.694084,0.001,0.0,48.700001,2.200001,347.989,-3.085937,273,0.001,3.537326,3.606047,4.328704,-3.506945
