层数,序号,时间,成形室压力(mBar),成形室温度(℃),加热板温度(℃),氩气压力(Bar),中效滤芯阻力(mBar),高效滤芯阻力(mBar),尘气室蝶阀状态(),净气室蝶阀状态(),刮刀位置(mm),刮刀扭矩(%),加工平台位置(mm),加工平台扭矩(%),压缩空气压力(Bar),环境氧含量(%),过滤器气源压力(Bar),脉冲清灰压力(Bar),气动蝶阀压力(Bar),循环气体实时流量(m3/h),风机转速(%),净气室压力(mBar),落粉轴角度(°),落粉轴扭矩(%),储粉桶物位计(mm),成形室氧含量(%),预涂料蝶阀状态(),卸灰蝶阀状态(),过滤器安全门锁()
1,1,2024-10-16 08:11:13,17.632378,31.018518,27.6,3.980758,4.423363,1.32127,1,1,520.0,-8.76953,102.37,-11.159384,5.325521,14.932726,3.888165,3.932292,5.269821,378.8302,37.997002,11.410591,312.995,5.546875,283,0.045,0,1,1
2,482,2024-10-16 08:15:18,17.775608,32.62442,27.6,3.981482,4.597957,1.366487,1,1,520.0,-8.789062,102.37,-9.730253,5.323351,14.930555,3.891783,3.935909,5.269821,345.0802,38.997543,11.128471,312.995,5.488281,284,0.0205,0,1,1
2,483,2024-10-16 08:15:18,17.719185,32.62442,27.6,3.982205,4.603361,1.363463,1,1,520.0,-8.671874,102.37,-8.878856,5.324074,14.930555,3.891783,3.935185,5.269821,345.0802,39.097595,11.111111,312.995,5.488281,282,0.0205,0,1,1
2,484,2024-10-16 08:15:19,17.719185,32.62442,27.6,3.982205,4.612028,1.360185,1,1,520.0,-8.554687,102.37,-8.635599,5.324074,14.930555,3.890336,3.935185,5.269821,341.368683,39.197651,11.132813,312.995,5.703125,283,0.0201,0,1,1
2,485,2024-10-16 08:15:19,17.719185,32.62442,27.6,3.982205,4.612028,1.360185,1,1,520.0,-8.554687,102.37,-8.635599,5.324074,14.930555,3.890336,3.935185,5.269821,341.368683,39.197651,11.132813,312.995,5.703125,283,0.0201,0,1,1
2,486,2024-10-16 08:15:20,17.762587,32.638889,27.6,3.981482,4.62722,1.371417,1,1,472.692,-41.601559,102.871,0.851397,5.324798,14.930555,3.891783,3.935909,5.269821,331.506531,39.491924,11.046005,312.995,5.15625,284,0.0201,0,1,1
2,487,2024-10-16 08:15:20,17.771267,32.638889,27.6,3.981482,4.648153,1.394268,1,1,357.332,-40.52734,102.871,-7.784203,5.325521,14.932726,3.891783,3.935185,5.269821,328.25824,39.697922,11.024307,312.995,5.253906,283,0.0201,0,1,1
2,488,2024-10-16 08:15:21,17.777779,32.638889,27.6,3.980758,4.673633,1.416278,1,1,230.119,-38.164059,102.87,-10.520836,5.324798,14.930555,3.890336,3.935909,5.269821,333.169708,39.797977,10.90712,312.995,5.292968,283,0.0201,0,1,1
2,489,2024-10-16 08:15:21,17.808159,32.638889,27.6,3.981482,4.687946,1.42916,1,1,114.11,-38.417965,102.87,-11.189791,5.324798,14.930555,3.891059,3.935185,5.269821,338.537323,39.898026,10.946182,312.995,5.351562,284,0.0201,0,1,1
2,490,2024-10-16 08:15:22,17.786459,32.638889,27.6,3.981482,4.715832,1.430107,1,1,40.561,-45.136715,102.701,-23.595863,5.324798,14.930555,3.891059,3.935185,5.269821,349.678345,40.098137,10.90712,312.995,5.273437,284,0.0201,0,1,1
2,491,2024-10-16 08:15:22,17.786459,32.638889,27.6,3.981482,4.715832,1.430107,1,1,40.561,-45.136715,102.701,-23.595863,5.324798,14.930555,3.891059,3.935185,5.269821,349.678345,40.098137,10.90712,312.995,5.273437,284,0.0201,0,1,1
2,492,2024-10-16 08:15:23,17.769096,32.62442,27.6,3.980758,4.750365,1.429846,1,1,-5.087,-13.417968,102.411,-6.78077,5.324798,14.932726,3.890336,3.935185,5.269821,378.917023,40.098137,10.850693,312.995,5.175781,284,0.0201,0,1,1
2,493,2024-10-16 08:15:23,17.730034,32.62442,27.6,3.963397,4.769899,1.439734,1,1,-5.011,-6.992187,102.411,-2.554191,5.325521,14.930555,3.887442,3.935185,5.269821,387.975769,39.998081,10.859375,53.0,-27.753904,283,0.0201,0,1,1
2,494,2024-10-16 08:15:24,17.814671,32.62442,27.6,3.982928,4.785914,1.44811,1,1,14.192,27.988279,102.411,-3.435996,5.324798,14.917535,3.893953,3.935185,5.269821,378.917023,39.998081,10.837673,53.0,-27.988279,283,0.0201,0,1,1
2,495,2024-10-16 08:15:24,17.773438,32.62442,27.6,3.985098,4.804237,1.447739,1,1,71.255,29.648434,102.411,-3.588031,5.324798,14.915364,3.893953,3.935185,5.269821,361.391663,40.292355,10.807293,53.0,-27.714842,283,0.0198,0,1,1
2,496,2024-10-16 08:15:25,17.777779,32.62442,27.6,3.985098,4.810424,1.458076,1,1,148.078,27.558592,102.411,-3.648845,5.323351,14.917535,3.894676,3.935185,5.269821,354.579926,40.292355,10.81163,53.0,-27.656248,283,0.0198,0,1,1
2,497,2024-10-16 08:15:25,17.773438,32.609955,27.6,3.985822,4.824138,1.473677,1,1,183.165,63.496086,102.412,-18.730738,5.324798,14.915364,3.893953,3.935185,5.269821,348.292603,40.398296,10.716145,53.0,-27.695311,283,0.0198,0,1,1
2,498,2024-10-16 08:15:26,17.730034,32.609955,27.6,3.984375,4.848086,1.497554,1,1,235.305,61.249992,102.411,-18.791552,5.324798,14.917535,3.893953,3.935185,5.269821,348.292603,40.69846,10.672745,53.0,-27.617186,283,0.0198,0,1,1
2,499,2024-10-16 08:15:26,17.730034,32.609955,27.6,3.984375,4.848086,1.497554,1,1,235.305,61.249992,102.411,-18.791552,5.324798,14.917535,3.893953,3.935185,5.269821,348.292603,40.69846,10.672745,53.0,-27.617186,283,0.0198,0,1,1
2,500,2024-10-16 08:15:27,17.777779,32.609955,27.6,3.984375,4.87998,1.500956,1,1,359.7,56.386711,102.411,-7.936237,5.324798,14.917535,3.894676,3.935909,5.269821,386.894867,40.898571,10.607639,53.0,-27.792967,283,0.0198,0,1,1
2,501,2024-10-16 08:15:27,17.777779,32.609955,27.6,3.984375,4.87998,1.500956,1,1,359.7,56.386711,102.411,-7.936237,5.324798,14.917535,3.894676,3.935909,5.269821,386.894867,40.898571,10.607639,53.0,-27.792967,283,0.0198,0,1,1
2,502,2024-10-16 08:15:28,17.758247,32.595486,27.6,3.982928,4.905785,1.505684,1,1,492.899,26.035154,102.412,-5.534081,5.324798,14.917535,3.893953,3.935909,5.269821,398.982391,40.69846,10.677082,53.0,-27.851561,283,0.0198,0,1,1
2,503,2024-10-16 08:15:28,17.758247,32.595486,27.6,3.983652,4.914539,1.505322,1,1,509.265,26.640623,102.412,-4.865127,5.324798,14.917535,3.893953,3.935909,5.269821,398.982391,40.69846,10.659721,53.0,-27.792967,283,0.0198,0,1,1
3,952,2024-10-16 08:19:17,17.157118,33.40567,28.1,4.440827,4.744214,1.406762,1,1,520.011,10.64453,102.411,-9.152519,5.326244,14.976129,4.382957,3.917824,5.271267,353.586212,39.597866,10.373264,53.004,-26.406248,282,0.0136,0,1,1
3,953,2024-10-16 08:19:17,17.157118,33.40567,28.1,4.440827,4.748372,1.402899,1,1,520.011,10.664062,102.411,-9.395776,5.325521,14.976129,4.382957,3.917824,5.271267,353.586212,39.697922,10.34288,53.004,-26.210936,282,0.0136,0,1,1
3,954,2024-10-16 08:19:18,17.157118,33.420139,28.1,4.440827,4.759886,1.417053,1,1,520.011,10.742187,102.411,-10.794499,5.325521,14.976129,4.382957,3.917824,5.271267,371.653595,39.597866,10.295139,53.004,-26.230467,282,0.0136,0,1,1
3,955,2024-10-16 08:19:18,17.078993,33.420139,28.1,4.440827,4.767378,1.402906,1,1,472.007,-45.410152,102.912,-2.341342,5.324798,14.976129,4.380787,3.917824,5.271267,385.615875,39.49781,10.321182,53.004,-26.191404,283,0.0136,0,1,1
3,956,2024-10-16 08:19:19,17.03993,33.420139,28.1,4.440104,4.767999,1.387779,1,1,373.358,-37.636715,102.912,-11.706711,5.325521,14.976129,4.380787,3.917824,5.271267,386.333618,39.49781,10.334202,53.004,-26.230467,282,0.0136,0,1,1
3,957,2024-10-16 08:19:19,17.033421,33.420139,28.1,4.442274,4.773903,1.397467,1,1,282.149,-38.945309,102.911,-11.676304,5.326244,14.976129,4.38151,3.917824,5.271267,386.333618,39.49781,10.251736,53.004,-26.542967,282,0.0136,0,1,1
3,958,2024-10-16 08:19:20,17.063803,33.420139,28.1,4.438657,4.774346,1.406151,1,1,130.935,-40.468746,102.911,-12.375666,5.325521,14.976129,4.38151,3.917824,5.271267,390.096008,39.49781,10.303818,53.004,-26.035154,282,0.0136,0,1,1
3,959,2024-10-16 08:19:20,16.992188,33.420139,28.1,4.440104,4.77391,1.401459,1,1,42.165,-43.49609,102.764,-28.67384,5.325521,14.976129,4.382234,3.917101,5.271267,394.795197,39.49781,10.286457,53.004,-26.132811,282,0.0133,0,1,1
3,960,2024-10-16 08:19:21,16.992188,33.420139,28.1,4.440104,4.77391,1.401459,1,1,42.165,-43.49609,102.764,-28.67384,5.325521,14.976129,4.382234,3.917101,5.271267,394.795197,39.49781,10.286457,53.004,-26.132811,282,0.0133,0,1,1
3,961,2024-10-16 08:19:21,17.052952,33.420139,28.1,4.442274,4.779563,1.402617,1,1,-5.115,-18.261717,102.451,-14.017646,5.326244,14.976129,4.382957,3.917101,5.271267,402.757111,39.297703,10.303818,53.004,-26.171873,283,0.0133,0,1,1
3,962,2024-10-16 08:19:22,16.942274,33.40567,28.1,4.438657,4.7743,1.384917,1,1,-5.018,-8.378905,102.451,-2.767041,5.326244,14.976129,4.38368,3.917101,5.271267,390.096008,39.297703,10.28212,153.923,-35.703121,283,0.0133,0,1,1
3,963,2024-10-16 08:19:22,16.942274,33.40567,28.1,4.445891,4.772645,1.383581,1,1,-5.002,-7.36328,102.451,-3.892101,5.324074,14.976129,4.390191,3.917101,5.271267,381.508026,39.297703,10.217014,153.009,7.089843,283,0.0134,0,1,1
3,964,2024-10-16 08:19:23,16.935764,33.40567,28.1,4.448785,4.776957,1.385538,1,1,29.58,30.37109,102.451,-4.256986,5.325521,14.976129,4.390914,3.917101,5.271267,371.653595,39.397755,10.234375,152.978,5.761718,283,0.0133,0,1,1
3,965,2024-10-16 08:19:23,16.983507,33.391205,28.1,4.448061,4.773593,1.396709,1,1,94.85,31.269527,102.451,-4.530649,5.324798,14.976129,4.390914,3.917101,5.271267,363.26947,39.397755,10.243057,152.978,3.671875,283,0.0133,0,1,1
3,966,2024-10-16 08:19:24,16.937935,33.391205,28.1,4.448785,4.773043,1.389857,1,1,153.015,37.55859,102.454,-20.190275,5.324798,14.976129,4.390191,3.917101,5.271267,345.556396,39.49781,10.182293,152.982,1.835937,283,0.0133,0,1,1
3,967,2024-10-16 08:19:24,16.944445,33.391205,28.1,4.447338,4.777836,1.385792,1,1,200.441,69.609367,102.451,-21.588999,5.326968,14.976129,4.390191,3.917101,5.271267,334.90918,39.697922,10.147568,152.982,1.054687,283,0.0133,0,1,1
3,968,2024-10-16 08:19:25,16.944445,33.391205,28.1,4.447338,4.777836,1.385792,1,1,200.441,69.609367,102.451,-21.588999,5.326968,14.976129,4.390191,3.917101,5.271267,334.90918,39.697922,10.147568,152.982,1.054687,283,0.0133,0,1,1
3,969,2024-10-16 08:19:25,17.011719,33.376736,28.1,4.449508,4.788363,1.398521,1,1,246.872,58.339836,102.451,-17.57527,5.324798,14.976129,4.390191,3.917101,5.271267,341.789368,39.998081,10.147568,152.982,0.136719,283,0.0133,0,1,1
3,970,2024-10-16 08:19:26,16.957466,33.376736,28.1,4.448785,4.804154,1.443565,1,1,312.504,56.894524,102.451,-12.193223,5.324798,14.976129,4.390914,3.917101,5.271267,366.232605,39.998081,10.095486,152.99,-0.664062,283,0.0133,0,1,1
3,971,2024-10-16 08:19:27,16.940104,33.36227,28.1,4.445891,4.822429,1.455705,1,1,439.326,51.582027,102.451,-9.091705,5.325521,14.976129,4.387298,3.917101,5.271267,381.508026,39.898026,10.104168,152.994,-2.578125,283,0.0133,0,1,1
3,972,2024-10-16 08:19:27,17.003038,33.36227,28.1,4.445168,4.834,1.445012,1,1,502.88,27.343748,102.452,-2.371749,5.324074,14.976129,4.387298,3.917101,5.271267,383.99231,39.898026,10.138889,152.998,-2.65625,283,0.0133,0,1,1
4,1410,2024-10-16 08:23:10,16.927084,33.434605,28.700001,4.440827,4.605678,1.275933,1,1,520.003,12.05078,102.451,-6.689549,5.324074,14.99132,4.384404,3.898293,5.271267,392.441711,38.197109,10.512154,153.005,-2.519531,282,0.0102,0,1,1
4,1411,2024-10-16 08:23:10,16.86849,33.434605,28.700001,4.441551,4.601215,1.286642,1,1,520.003,11.73828,102.451,-6.26385,5.324798,14.99132,4.382957,3.898293,5.271267,383.211365,38.197109,10.512154,153.005,-1.777344,283,0.0103,0,1,1
4,1412,2024-10-16 08:23:11,16.916233,33.434605,28.700001,4.439381,4.588706,1.283509,1,1,520.003,11.464843,102.451,-6.294257,5.324798,14.99132,4.38368,3.898293,5.271267,379.988922,38.297161,10.516495,153.005,-1.738281,283,0.0102,0,1,1
4,1413,2024-10-16 08:23:11,16.898872,33.434605,28.700001,4.440104,4.583646,1.289236,1,1,459.869,-42.812496,102.952,1.155468,5.324798,14.99132,4.38151,3.898293,5.271267,377.518341,38.297161,10.477432,153.005,-2.324219,283,0.0102,0,1,1
4,1414,2024-10-16 08:23:12,16.851128,33.434605,28.700001,4.440104,4.577864,1.295042,1,1,346.118,-38.124996,102.951,-9.030891,5.325521,14.99132,4.382957,3.898293,5.271267,373.993805,38.197109,10.45573,153.005,-1.835937,283,0.0102,0,1,1
4,1415,2024-10-16 08:23:12,16.851128,33.434605,28.700001,4.440104,4.577864,1.295042,1,1,346.118,-38.124996,102.951,-9.030891,5.325521,14.99132,4.382957,3.898293,5.271267,373.993805,38.197109,10.45573,153.005,-1.835937,283,0.0102,0,1,1
4,1416,2024-10-16 08:23:13,16.864149,33.434605,28.700001,4.440827,4.568229,1.305772,1,1,139.721,-38.593746,102.951,-8.149087,5.324798,14.99132,4.382234,3.898293,5.271267,373.993805,38.297161,10.421005,153.005,-2.285156,283,0.0102,0,1,1
4,1417,2024-10-16 08:23:13,16.864149,33.434605,28.700001,4.440827,4.568229,1.305772,1,1,139.721,-38.593746,102.951,-8.149087,5.324798,14.99132,4.382234,3.898293,5.271267,373.993805,38.297161,10.421005,153.005,-2.285156,283,0.0102,0,1,1
4,1418,2024-10-16 08:23:14,16.846788,33.434605,28.700001,4.440104,4.573104,1.305033,1,1,30.165,-41.269527,102.803,-22.531616,5.324074,14.99132,4.382234,3.898293,5.271267,373.993805,38.297161,10.377605,153.005,-1.835937,283,0.0103,0,1,1
4,1419,2024-10-16 08:23:14,16.898872,33.434605,28.700001,4.440827,4.563423,1.313436,1,1,-5.084,-13.242187,102.491,-11.767525,5.324074,14.99132,4.38368,3.898293,5.271267,378.85611,38.297161,10.425346,164.913,-1.640625,283,0.0102,0,1,1
4,1420,2024-10-16 08:23:15,16.807726,33.420139,28.700001,4.404659,4.563055,1.316193,1,1,-5.014,-7.246093,102.491,-5.990187,5.324798,14.99132,4.359086,3.898293,5.271267,385.659424,38.197109,10.429688,253.659,-3.105469,283,0.0102,0,1,1
4,1421,2024-10-16 08:23:15,16.857639,33.420139,28.700001,4.440827,4.563223,1.315894,1,1,-5.003,-6.09375,102.491,-6.355072,5.324074,14.989149,4.385851,3.898293,5.271267,389.055481,38.197109,10.394966,253.033,4.511718,283,0.0102,0,1,1
4,1422,2024-10-16 08:23:16,16.857639,33.420139,28.700001,4.440827,4.563223,1.315894,1,1,-5.003,-6.09375,102.491,-6.355072,5.324074,14.989149,4.385851,3.898293,5.271267,389.055481,38.197109,10.394966,253.033,4.511718,283,0.0102,0,1,1
4,1423,2024-10-16 08:23:16,16.779514,33.420139,28.700001,4.446615,4.552604,1.314669,1,1,19.084,29.667965,102.491,-5.898966,5.324798,14.99132,4.387298,3.898293,5.271267,389.055481,38.097057,10.434029,252.98,3.515625,283,0.0101,0,1,1
4,1424,2024-10-16 08:23:17,16.746962,33.420139,28.700001,4.445891,4.551762,1.302786,1,1,94.851,31.054684,102.491,-6.294257,5.323351,14.989149,4.386574,3.898293,5.271267,389.055481,37.997002,10.386284,252.98,1.875,283,0.0101,0,1,1
4,1425,2024-10-16 08:23:17,16.73394,33.40567,28.700001,4.445168,4.552851,1.297372,1,1,140.873,29.042965,102.491,-6.111815,5.323351,14.99132,4.387298,3.898293,5.271267,383.211365,38.097057,10.412327,252.98,0.0,283,0.0101,0,1,1
4,1426,2024-10-16 08:23:18,16.749132,33.40567,28.700001,4.443721,4.537785,1.295102,1,1,187.256,199.882797,102.492,-24.812145,5.323351,14.99132,4.386574,3.898293,5.271267,373.521637,38.097057,10.407986,252.98,-0.996094,284,0.0101,0,1,1
4,1427,2024-10-16 08:23:18,16.775173,33.391205,28.700001,4.443721,4.531837,1.296495,1,1,182.716,0.0,102.492,-5.746931,5.322628,14.99132,4.385128,3.898293,5.271267,369.308746,38.097057,10.386284,252.984,-1.894531,285,0.0101,0,1,1
